,Name,Gender,Age,Nationality,Years_Active,Genre_Niche,Beauty_Level,Skills,Education,Award_Wins,Media_Mentions,Social_Media_Followers,Social_Media_Likes,Network_Size,MBTI_Personality,Income_Per_Year,First_Name,Last_Name,Genre_Niche_1,Genre_Niche_2,Skill_1,Skill_2,Skill_3
26,Clara Wang,Female,29,Chinese,6,Fitness & Nutrition,8,"Personal Training, Nutrition Coaching, Fitness Modeling",Bachelor's Degree in Nutrition,3.0,450.0,950000.0,50000.0,4.0,ENTJ,220000,Clara, Wang,Fitness & Nutrition,,Personal Training, Nutrition Coaching, Fitness Modeling
27,Leo Kim,Male,32,Korean,8,Fashion & Lifestyle,7,"Fashion Styling, Photography, Fashion Blogging",Bachelor's Degree in Fashion Design,3.0,500.0,1100000.0,65000.0,5.0,INTP,250000,Leo, Kim,Fashion & Lifestyle,,Fashion Styling, Photography, Fashion Blogging
28,Aria Patel,Female,27,Indian,5,Food & Cooking,7,"Cooking, Recipe Development, Food Blogging",Culinary School,2.0,300.0,700000.0,35000.0,4.0,ISFP,150000,Aria, Patel,Food & Cooking,,Cooking, Recipe Development, Food Blogging
29,Maxwell Jones,Male,30,American,6,Travel & Adventure,8,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Journalism,2.0,400.0,900000.0,45000.0,5.0,ENFP,200000,Maxwell, Jones,Travel & Adventure,,Travel Writing, Photography, Adventure Sports
30,Sophie Williams,Female,28,British,6,Fashion & Beauty,8,"Fashion Styling, Makeup Artistry, Fashion Blogging",Bachelor's Degree in Fashion Design,3.0,450.0,950000.0,50000.0,4.0,ISFJ,180000,Sophie, Williams,Fashion & Beauty,,Fashion Styling, Makeup Artistry, Fashion Blogging
31,Michael Chang,Male,33,American,7,Technology,9,"Software Engineering, Artificial Intelligence, Data Science",Master's Degree in Computer Science,4.0,600.0,1200000.0,70000.0,5.0,INTJ,250000,Michael, Chang,Technology,,Software Engineering, Artificial Intelligence, Data Science
32,Emily Garcia,Female,30,Mexican,8,Lifestyle & Wellness,7,"Yoga, Meditation, Holistic Health",Bachelor's Degree in Psychology,3.0,500.0,1000000.0,60000.0,5.0,INFJ,220000,Emily, Garcia,Lifestyle & Wellness,,Yoga, Meditation, Holistic Health
33,William Brown,Male,35,British,9,Food & Cooking,8,"Culinary Skills, Recipe Development, Food Styling",Culinary School,4.0,550.0,1100000.0,65000.0,5.0,ESTJ,280000,William, Brown,Food & Cooking,,Culinary Skills, Recipe Development, Food Styling
34,Sofia Santos,Female,29,Brazilian,6,Travel & Adventure,7,"Travel Photography, Blogging, Adventure Sports",Bachelor's Degree in Tourism,2.0,400.0,850000.0,45000.0,4.0,ENTP,200000,Sofia, Santos,Travel & Adventure,,Travel Photography, Blogging, Adventure Sports
35,Liam Patel,Male,28,Indian,5,Gaming & Esports,9,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,2.0,300.0,700000.0,35000.0,4.0,ISFP,150000,Liam, Patel,Gaming & Esports,,Gaming Skills, Strategy, Esports Commentary
36,Emma Smith,Female,31,Canadian,7,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3.0,500.0,1000000.0,60000.0,5.0,ENFP,230000,Emma, Smith,Music,,Singing, Songwriting, Music Production
37,Noah Lee,Male,30,Korean,8,Fashion & Lifestyle,7,"Fashion Styling, Fashion Photography, Fashion Blogging",Bachelor's Degree in Fashion Design,3.0,500.0,1100000.0,65000.0,5.0,INTP,250000,Noah, Lee,Fashion & Lifestyle,,Fashion Styling, Fashion Photography, Fashion Blogging
38,Mia Fernandez,Female,26,Spanish,5,Beauty & Makeup,9,"Makeup Artistry, Skincare, Beauty Vlogging",Bachelor's Degree in Cosmetology,2.0,350.0,800000.0,40000.0,4.0,ESFP,150000,Mia, Fernandez,Beauty & Makeup,,Makeup Artistry, Skincare, Beauty Vlogging
39,Elijah Nguyen,Male,32,Vietnamese,9,Photography & Travel,8,"Photography, Videography, Travel Writing",Self-Taught,4.0,600.0,1300000.0,75000.0,5.0,ISTJ,300000,Elijah, Nguyen,Photography & Travel,,Photography, Videography, Travel Writing
40,Avery Martinez,Female,33,American,8,Comedy,7,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3.0,450.0,950000.0,50000.0,4.0,ENTJ,220000,Avery, Martinez,Comedy,,Stand-up Comedy, Improvisation, Writing
41,Gabriel Kim,Male,29,Korean,6,Fitness & Nutrition,8,"Personal Training, Nutrition Coaching, Fitness Modeling",Bachelor's Degree in Nutrition,2.0,400.0,900000.0,45000.0,4.0,INFP,200000,Gabriel, Kim,Fitness & Nutrition,,Personal Training, Nutrition Coaching, Fitness Modeling
42,Sophia Chen,Female,27,Chinese,5,Fashion & Lifestyle,7,"Fashion Design, Modeling, Fashion Blogging",Bachelor's Degree in Fashion Design,2.0,350.0,800000.0,40000.0,4.0,ESFJ,150000,Sophia, Chen,Fashion & Lifestyle,,Fashion Design, Modeling, Fashion Blogging
43,Ethan Rodriguez,Male,35,Mexican,10,Technology,9,"Programming, Web Development, Cybersecurity",Master's Degree in Computer Engineering,5.0,700.0,1400000.0,80000.0,6.0,INTJ,350000,Ethan, Rodriguez,Technology,,Programming, Web Development, Cybersecurity
44,Olivia Wang,Female,28,Chinese,6,Gaming & Esports,8,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,2.0,300.0,750000.0,35000.0,4.0,ISFP,180000,Olivia, Wang,Gaming & Esports,,Gaming Skills, Strategy, Esports Commentary
45,Ethan Smith,Male,34,American,8,Fashion & Beauty,7,"Fashion Styling, Makeup Artistry, Fashion Photography",Bachelor's Degree in Fashion Design,3.0,500.0,1000000.0,60000.0,5.0,ENTJ,250000,Ethan, Smith,Fashion & Beauty,,Fashion Styling, Makeup Artistry, Fashion Photography
46,Luna Martinez,Female,29,Spanish,6,Food & Cooking,8,"Culinary Skills, Recipe Development, Food Blogging",Culinary School,3.0,450.0,950000.0,50000.0,4.0,ENFJ,220000,Luna, Martinez,Food & Cooking,,Culinary Skills, Recipe Development, Food Blogging
47,Matthew Kim,Male,32,Korean,7,Travel & Adventure,7,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Journalism,2.0,400.0,850000.0,45000.0,4.0,INTP,200000,Matthew, Kim,Travel & Adventure,,Travel Writing, Photography, Adventure Sports
48,Sofia Lopez,Female,30,Mexican,8,Parenting & Family,7,"Parenting Tips, Child Psychology, Family Vlogging",Bachelor's Degree in Early Childhood Education,3.0,500.0,1100000.0,65000.0,5.0,ISFJ,230000,Sofia, Lopez,Parenting & Family,,Parenting Tips, Child Psychology, Family Vlogging
49,James Nguyen,Male,28,Vietnamese,5,Lifestyle & Wellness,8,"Yoga, Meditation, Holistic Health",Bachelor's Degree in Psychology,2.0,400.0,850000.0,45000.0,4.0,ISTP,180000,James, Nguyen,Lifestyle & Wellness,,Yoga, Meditation, Holistic Health
50,Chloe Garcia,Female,31,American,7,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3.0,500.0,1000000.0,60000.0,5.0,ENTP,230000,Chloe, Garcia,Music,,Singing, Songwriting, Music Production
51,Logan Smith,Male,30,Canadian,6,Technology,9,"Software Engineering, Data Science, Artificial Intelligence",Master's Degree in Computer Science,4.0,600.0,1200000.0,70000.0,5.0,INTJ,250000,Logan, Smith,Technology,,Software Engineering, Data Science, Artificial Intelligence
52,Ella Kim,Female,29,Korean,6,Beauty & Makeup,8,"Makeup Artistry, Skincare, Beauty Blogging",Bachelor's Degree in Cosmetology,2.0,350.0,800000.0,40000.0,4.0,ENFP,150000,Ella, Kim,Beauty & Makeup,,Makeup Artistry, Skincare, Beauty Blogging
53,Lucas Hernandez,Male,34,Spanish,8,Comedy,7,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3.0,450.0,950000.0,50000.0,4.0,ESTJ,220000,Lucas, Hernandez,Comedy,,Stand-up Comedy, Improvisation, Writing
54,Ava Lee,Female,28,Chinese,6,Fashion & Lifestyle,7,"Fashion Styling, Fashion Photography, Fashion Blogging",Bachelor's Degree in Fashion Design,3.0,500.0,1100000.0,65000.0,5.0,INFJ,250000,Ava, Lee,Fashion & Lifestyle,,Fashion Styling, Fashion Photography, Fashion Blogging
55,Noah Rodriguez,Male,33,Mexican,7,Fitness & Nutrition,8,"Personal Training, Nutrition Coaching, Fitness Modeling",Bachelor's Degree in Nutrition,2.0,400.0,900000.0,45000.0,4.0,ISTP,200000,Noah, Rodriguez,Fitness & Nutrition,,Personal Training, Nutrition Coaching, Fitness Modeling
56,Olivia Lopez,Female,27,Spanish,5,Fashion & Beauty,8,"Fashion Design, Makeup Artistry, Fashion Blogging",Bachelor's Degree in Fashion Design,2.0,350.0,800000.0,40000.0,4.0,ENFJ,150000,Olivia, Lopez,Fashion & Beauty,,Fashion Design, Makeup Artistry, Fashion Blogging
57,Ethan Chen,Male,34,Chinese,8,Photography & Travel,7,"Photography, Videography, Travel Writing",Bachelor's Degree in Tourism,3.0,500.0,1100000.0,65000.0,5.0,INTP,250000,Ethan, Chen,Photography & Travel,,Photography, Videography, Travel Writing
58,Sophia Rodriguez,Female,31,Mexican,6,Gaming & Esports,8,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,2.0,300.0,750000.0,35000.0,4.0,ISFP,180000,Sophia, Rodriguez,Gaming & Esports,,Gaming Skills, Strategy, Esports Commentary
59,Ethan Martinez,Male,29,American,6,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3.0,500.0,1000000.0,60000.0,5.0,ENTJ,230000,Ethan, Martinez,Music,,Singing, Songwriting, Music Production
60,Ava Nguyen,Female,32,Vietnamese,7,Travel & Adventure,7,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Journalism,2.0,400.0,850000.0,45000.0,4.0,INFP,200000,Ava, Nguyen,Travel & Adventure,,Travel Writing, Photography, Adventure Sports
61,Matthew Lee,Male,30,Korean,8,Technology,9,"Software Engineering, Data Science, Machine Learning",Master's Degree in Computer Science,4.0,600.0,1200000.0,70000.0,5.0,INTJ,250000,Matthew, Lee,Technology,,Software Engineering, Data Science, Machine Learning
62,Sophie Martinez,Female,29,Spanish,6,Food & Cooking,8,"Culinary Skills, Recipe Development, Food Styling",Culinary School,3.0,450.0,950000.0,50000.0,4.0,ENFP,220000,Sophie, Martinez,Food & Cooking,,Culinary Skills, Recipe Development, Food Styling
63,Logan Kim,Male,32,Korean,7,Parenting & Family,7,"Parenting Tips, Child Psychology, Family Vlogging",Bachelor's Degree in Early Childhood Education,3.0,500.0,1100000.0,65000.0,5.0,ISTJ,250000,Logan, Kim,Parenting & Family,,Parenting Tips, Child Psychology, Family Vlogging
64,Chloe Lopez,Female,28,Mexican,6,Lifestyle & Wellness,7,"Yoga, Meditation, Holistic Health",Bachelor's Degree in Psychology,2.0,400.0,850000.0,45000.0,4.0,ESFP,180000,Chloe, Lopez,Lifestyle & Wellness,,Yoga, Meditation, Holistic Health
65,Lucas Kim,Male,35,Korean,9,Comedy,8,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3.0,450.0,950000.0,50000.0,4.0,ESTP,220000,Lucas, Kim,Comedy,,Stand-up Comedy, Improvisation, Writing
66,Ava Hernandez,Female,26,Spanish,5,Fitness & Nutrition,8,"Personal Training, Nutrition Coaching, Fitness Modeling",Bachelor's Degree in Nutrition,2.0,400.0,900000.0,45000.0,4.0,ISFJ,200000,Ava, Hernandez,Fitness & Nutrition,,Personal Training, Nutrition Coaching, Fitness Modeling
67,Noah Lee,Male,33,American,8,Fashion & Beauty,7,"Fashion Styling, Makeup Artistry, Fashion Photography",Bachelor's Degree in Fashion Design,3.0,500.0,1000000.0,60000.0,5.0,ENTP,250000,Noah, Lee,Fashion & Beauty,,Fashion Styling, Makeup Artistry, Fashion Photography
68,Sophia Rodriguez,Female,30,Mexican,7,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3.0,500.0,1000000.0,60000.0,5.0,INFP,230000,Sophia, Rodriguez,Music,,Singing, Songwriting, Music Production
69,Matthew Kim,Male,28,Korean,6,Travel & Adventure,7,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Tourism,2.0,400.0,850000.0,45000.0,4.0,INTJ,200000,Matthew, Kim,Travel & Adventure,,Travel Writing, Photography, Adventure Sports
70,Chloe Martinez,Female,31,American,7,Technology,8,"Software Engineering, Data Science, Cybersecurity",Master's Degree in Computer Science,3.0,550.0,1200000.0,70000.0,5.0,ENFJ,280000,Chloe, Martinez,Technology,,Software Engineering, Data Science, Cybersecurity
71,Logan Nguyen,Male,29,Vietnamese,6,Gaming & Esports,8,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,2.0,300.0,750000.0,35000.0,4.0,ISTP,180000,Logan, Nguyen,Gaming & Esports,,Gaming Skills, Strategy, Esports Commentary
72,Ava Garcia,Female,27,Spanish,5,Beauty & Makeup,8,"Makeup Artistry, Skincare, Beauty Blogging",Bachelor's Degree in Cosmetology,2.0,350.0,800000.0,40000.0,4.0,ESFJ,150000,Ava, Garcia,Beauty & Makeup,,Makeup Artistry, Skincare, Beauty Blogging
73,Noah Lee,Male,34,Korean,8,Comedy,7,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3.0,450.0,950000.0,50000.0,4.0,ENTJ,220000,Noah, Lee,Comedy,,Stand-up Comedy, Improvisation, Writing
74,Sophia Kim,Female,29,Korean,6,Food & Cooking,8,"Culinary Skills, Recipe Development, Food Styling",Culinary School,3.0,450.0,950000.0,50000.0,4.0,INFJ,220000,Sophia, Kim,Food & Cooking,,Culinary Skills, Recipe Development, Food Styling
75,Matthew Rodriguez,Male,31,Mexican,7,Travel & Adventure,7,"Travel Photography, Blogging, Adventure Sports",Bachelor's Degree in Tourism,2.0,400.0,850000.0,45000.0,4.0,INTP,200000,Matthew, Rodriguez,Travel & Adventure,,Travel Photography, Blogging, Adventure Sports
76,Chloe Martinez,Female,28,American,6,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3.0,500.0,1000000.0,60000.0,5.0,ENFP,230000,Chloe, Martinez,Music,,Singing, Songwriting, Music Production
77,Logan Hernandez,Male,35,Spanish,8,Fashion & Beauty,7,"Fashion Styling, Makeup Artistry, Fashion Blogging",Bachelor's Degree in Fashion Design,3.0,500.0,1000000.0,60000.0,5.0,ISTJ,250000,Logan, Hernandez,Fashion & Beauty,,Fashion Styling, Makeup Artistry, Fashion Blogging
78,Ava Kim,Female,30,Korean,7,Technology,8,"Software Engineering, Data Science, Artificial Intelligence",Master's Degree in Computer Science,3.0,550.0,1200000.0,70000.0,5.0,ESFP,280000,Ava, Kim,Technology,,Software Engineering, Data Science, Artificial Intelligence
79,Noah Lee,Male,26,Korean,5,Fitness & Nutrition,8,"Personal Training, Nutrition Coaching, Fitness Modeling",Bachelor's Degree in Nutrition,2.0,400.0,900000.0,45000.0,4.0,INTJ,200000,Noah, Lee,Fitness & Nutrition,,Personal Training, Nutrition Coaching, Fitness Modeling
80,Sophia Rodriguez,Female,32,Mexican,7,Comedy,7,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3.0,450.0,950000.0,50000.0,4.0,ENFJ,220000,Sophia, Rodriguez,Comedy,,Stand-up Comedy, Improvisation, Writing
81,Matthew Kim,Male,29,American,6,Food & Cooking,8,"Culinary Skills, Recipe Development, Food Styling",Culinary School,3.0,450.0,950000.0,50000.0,4.0,INFJ,220000,Matthew, Kim,Food & Cooking,,Culinary Skills, Recipe Development, Food Styling
82,Chloe Garcia,Female,26,Mexican,5,Travel & Adventure,8,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Journalism,2.0,400.0,850000.0,45000.0,4.0,ISTP,180000,Chloe, Garcia,Travel & Adventure,,Travel Writing, Photography, Adventure Sports
83,Logan Lee,Male,33,Korean,8,Gaming & Esports,7,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,3.0,500.0,1000000.0,60000.0,5.0,ESTJ,250000,Logan, Lee,Gaming & Esports,,Gaming Skills, Strategy, Esports Commentary
84,Ava Rodriguez,Female,29,Mexican,6,Lifestyle & Wellness,7,"Yoga, Meditation, Holistic Health",Bachelor's Degree in Psychology,2.0,400.0,900000.0,45000.0,4.0,ENFP,200000,Ava, Rodriguez,Lifestyle & Wellness,,Yoga, Meditation, Holistic Health
85,Noah Kim,Male,30,Korean,7,Beauty & Makeup,8,"Makeup Artistry, Skincare, Beauty Blogging",Bachelor's Degree in Cosmetology,3.0,450.0,950000.0,50000.0,4.0,INTJ,220000,Noah, Kim,Beauty & Makeup,,Makeup Artistry, Skincare, Beauty Blogging
86,Sophia Nguyen,Female,27,Vietnamese,5,Fashion & Lifestyle,8,"Fashion Design, Modeling, Fashion Blogging",Bachelor's Degree in Fashion Design,2.0,400.0,900000.0,45000.0,4.0,ESFJ,150000,Sophia, Nguyen,Fashion & Lifestyle,,Fashion Design, Modeling, Fashion Blogging
87,Matthew Smith,Male,34,American,8,Photography & Travel,7,"Photography, Videography, Travel Writing",Bachelor's Degree in Tourism,3.0,500.0,1100000.0,65000.0,5.0,ISTJ,250000,Matthew, Smith,Photography & Travel,,Photography, Videography, Travel Writing
88,Chloe Martinez,Female,31,Mexican,7,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3.0,500.0,1000000.0,60000.0,5.0,ENTP,230000,Chloe, Martinez,Music,,Singing, Songwriting, Music Production
89,Logan Kim,Male,28,Korean,6,Travel & Adventure,7,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Tourism,2.0,400.0,850000.0,45000.0,4.0,INTP,200000,Logan, Kim,Travel & Adventure,,Travel Writing, Photography, Adventure Sports
90,Ava Hernandez,Female,30,Spanish,7,Technology,8,"Software Engineering, Data Science, Artificial Intelligence",Master's Degree in Computer Science,3.0,550.0,1200000.0,70000.0,5.0,ESFP,280000,Ava, Hernandez,Technology,,Software Engineering, Data Science, Artificial Intelligence
91,Noah Lee,Male,29,Korean,6,Gaming & Esports,7,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,2.0,300.0,750000.0,35000.0,4.0,ISTP,180000,Noah, Lee,Gaming & Esports,,Gaming Skills, Strategy, Esports Commentary
93,Matthew Kim,Male,30,American,6,Food & Cooking,8,"Culinary Skills, Recipe Development, Food Styling",Culinary School,3.0,450.0,950000.0,50000.0,4.0,INFJ,220000,Matthew, Kim,Food & Cooking,,Culinary Skills, Recipe Development, Food Styling
94,Chloe Garcia,Female,27,Mexican,5,Travel & Adventure,8,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Journalism,2.0,400.0,850000.0,45000.0,4.0,ISTP,180000,Chloe, Garcia,Travel & Adventure,,Travel Writing, Photography, Adventure Sports
95,Logan Lee,Male,34,Korean,8,Gaming & Esports,7,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,3.0,500.0,1000000.0,60000.0,5.0,ESTJ,250000,Logan, Lee,Gaming & Esports,,Gaming Skills, Strategy, Esports Commentary
96,Sophia Hernandez,Female,28,Spanish,6,Fashion & Beauty,8,"Fashion Styling, Makeup Artistry, Fashion Blogging",Bachelor's Degree in Fashion Design,3.0,450.0,950000.0,50000.0,4.0,ISFJ,180000,Sophia, Hernandez,Fashion & Beauty,,Fashion Styling, Makeup Artistry, Fashion Blogging
97,Michael Smith,Male,33,American,7,Technology,9,"Software Engineering, Artificial Intelligence, Data Science",Master's Degree in Computer Science,4.0,600.0,1200000.0,70000.0,5.0,INTJ,250000,Michael, Smith,Technology,,Software Engineering, Artificial Intelligence, Data Science
98,Emily Kim,Female,30,Korean,8,Lifestyle & Wellness,7,"Yoga, Meditation, Holistic Health",Bachelor's Degree in Psychology,3.0,500.0,1000000.0,60000.0,5.0,INFJ,220000,Emily, Kim,Lifestyle & Wellness,,Yoga, Meditation, Holistic Health
99,William Nguyen,Male,35,Vietnamese,9,Food & Cooking,8,"Culinary Skills, Recipe Development, Food Styling",Culinary School,4.0,550.0,1100000.0,65000.0,5.0,ESTJ,280000,William, Nguyen,Food & Cooking,,Culinary Skills, Recipe Development, Food Styling
100,Sofia Garcia,Female,29,Mexican,6,Travel & Adventure,7,"Travel Photography, Blogging, Adventure Sports",Bachelor's Degree in Tourism,2.0,400.0,850000.0,45000.0,4.0,ENTP,200000,Sofia, Garcia,Travel & Adventure,,Travel Photography, Blogging, Adventure Sports
